Order ID,Customer,Site Code,City,Country,Region,Service Type,Status,DPM,Field Engineer,Order Date,Target Go-Live,Actual Go-Live,FTE Days,Revenue (EUR),APs Migrated,Priority
10-10174194,Harman International ,USNOR,Northridge,USA,Americas,SD-WAN Migration,delivered,Mia Larsson,S. Okafor,18/03/2025,2025-04-21,2025-05-06,21.3,31411,0,High
10-10174329,Volvo Group ,SEGOT,Gothenburg,,EMEA,LAN Refresh,in-progress,Neha Saini,J. Becker,12/10/2025,2025-12-25,,"7,7",12431,1,Medium
10-10174653,  Network International,AEDXB,Dubai,UAE,EMEA,SD-WAN Migration,Delivered,Ahmed El Bourgy,J. Becker,19/07/2025,2025-08-21,2025-08-26,24.0,31385,0,Medium
10-10174820,Carlsberg Group,DKCPH,Copenhagen,Denmark,EMEA,SD-WAN Migration,On Hold,Neha Saini,P. Dubois,18/11/2025,2026-01-24,,17.0,16694,0,Low
10-10175098,HARMAN INTERNATIONAL,DEGAR,Garching,Germany,EMEA,SD-WAN Migration,Delivered,Ahmed El Bourgy,T. Nakamura,11/07/2025,2025-08-21,2025-08-26,"11,2",16011,0,Medium
10-10175684,  Volvo Group,SEGOT,Gothenburg,Sweden,EMEA,MPLS Service Order,Delivered,Ahmed El Bourgy,P. Dubois,29/11/2025,2026-03-01,2026-03-02,19.8,19886,0,Medium
10-10175791,VOLVO GROUP,BEGEN,Ghent,Belgium,EMEA,Wireless Migration,In Progress,Karim El Zarka,J. Becker,27/07/2025,2025-10-14,,5.7,6949,137,Medium
10-10176428,CARLSBERG GROUP,PLWAW,Warsaw,Poland,EMEA,Wireless Migration,Cancelled,Neha Saini,J. Becker,17/03/2025,2025-06-11,,14.8,17557,28,High
10-10177164,Carlsberg Group ,DKCPH,Copenhagen,Denmark,EMEA,MPLS Service Order,Delivered,Ahmed El Bourgy,J. Becker,02/09/2025,2025-11-29,2025-12-01,27.2,27565,0,Low
10-10177972,NORDEA BANK,FIHEL,Helsinki,Finland,EMEA,LAN Refresh,Delivered,Neha Saini,T. Nakamura,27/03/2025,2025-06-14,2025-06-08,26.8,35309,128,Low
10-10178652,  Nordea Bank,DKCPH,Copenhagen,,EMEA,Wireless Migration,Delivered,Carlos Mendez,L. Andersson,29/03/2025,2025-06-27,2025-07-15,26.0,25853,82,High
10-10179063,  Nordea Bank,DKCPH,Copenhagen,Denmark,EMEA,LAN Refresh,Delivered,Neha Saini,R. Kumar,23/10/2025,2025-11-23,2025-11-19,"21,0",23485,136,Medium
10-10179665,  Network International,AEAUH,Abu Dhabi,UAE,EMEA,MPLS Service Order,Cancelled,Karim El Zarka,S. Okafor,09/10/2025,2025-11-24,,20.5,29565,0,Low
10-10180167,  Harman International,USNOR,Northridge,USA,Americas,Wireless Migration,delivered,Neha Saini,L. Andersson,16/01/2025,2025-04-17,2025-04-18,17.3,15981,15,Low
10-10180545,Harman International ,CNSHA,Shanghai,,APAC,Wireless Migration,delivered,Neha Saini,S. Okafor,11/09/2025,2025-10-29,2025-11-09,5.4,10373,121,Low
10-10180779,  Harman International,USNOR,Northridge,USA,Americas,MPLS Service Order,Delivered,Carlos Mendez,J. Becker,04/08/2025,2025-10-23,2025-11-09,3.4,3648,0,Medium
10-10180930,Volvo Group,SEGOT,Gothenburg,Sweden,EMEA,Wireless Migration,in-progress,Carlos Mendez,T. Nakamura,18/03/2025,2025-06-01,,"6,8",10359,19,High
10-10181637,SKF Industrial,SEGOT,Gothenburg,Sweden,EMEA,Wireless Migration,Delivered,Ahmed El Bourgy,S. Okafor,11/09/2025,2025-12-02,2025-12-02,24.5,24194,97,High
10-10182479,  Atlas Copco,INPUN,Pune,India,APAC,MPLS Service Order,In Progress,Ahmed El Bourgy,T. Nakamura,17/10/2025,2026-01-08,,6.0,8109,0,Medium
